period_end,filed,form,fiscal_year,fiscal_period,assets,liabilities,current_assets,current_liabilities,long_term_debt,revenue,operating_income,net_income,stockholders_equity,cash,interest_expense,current_debt,shares_outstanding,default_point_proxy,total_debt_proxy,book_leverage,current_ratio,net_margin,return_on_assets,interest_coverage_proxy,cash_to_assets
2020-07-31,2022-03-24,10-K,2022,FY,,,,,,20853000000.0,,1048000000.0,,,,,848171289,,,,,0.0502565578094279,,,
2020-10-30,2020-12-07,10-Q,2021,Q3,38614000000.0,50302000000.0,38614000000.0,50302000000.0,43325000000.0,23482000000.0,1129000000.0,881000000.0,5939000000.0,12157000000.0,566000000.0,,848171289,71964500000.0,93627000000.0,1.3026881441964056,0.7676434336606894,0.03751809896942339,0.022815559123633915,1.9946996466431095,0.31483399803180195
2020-10-30,2021-12-03,10-Q,2022,Q3,,,,,,23482000000.0,1129000000.0,881000000.0,5939000000.0,12157000000.0,566000000.0,,848171289,,,,,0.03751809896942339,,1.9946996466431095,
2020-10-30,2022-03-24,10-K,2022,FY,,,,,,21589000000.0,,832000000.0,,,,,848171289,,,,,0.03853814442540183,,,
2021-01-29,2021-03-26,10-K,2021,FY,43567000000.0,54132000000.0,43567000000.0,54132000000.0,41622000000.0,94224000000.0,5144000000.0,3505000000.0,7553000000.0,15184000000.0,2389000000.0,,848171289,74943000000.0,95754000000.0,1.2425000573828815,0.8048289366733171,0.03719859059263033,0.08045079991736866,2.1532021766429468,0.3485206693139303
2021-01-29,2021-06-07,10-Q,2022,Q1,43567000000.0,54132000000.0,43567000000.0,54132000000.0,41622000000.0,,,,7553000000.0,15184000000.0,,,848171289,74943000000.0,95754000000.0,1.2425000573828815,0.8048289366733171,,,,0.3485206693139303
2021-01-29,2021-09-03,10-Q,2022,Q2,43567000000.0,54132000000.0,43567000000.0,54132000000.0,41622000000.0,,,,7553000000.0,15184000000.0,,,848171289,74943000000.0,95754000000.0,1.2425000573828815,0.8048289366733171,,,,0.3485206693139303
2021-01-29,2021-12-03,10-Q,2022,Q3,43567000000.0,54132000000.0,43567000000.0,54132000000.0,41622000000.0,,,,7553000000.0,15184000000.0,,,848171289,74943000000.0,95754000000.0,1.2425000573828815,0.8048289366733171,,,,0.3485206693139303
2021-01-29,2022-03-24,10-K,2022,FY,43567000000.0,54132000000.0,43567000000.0,54132000000.0,32865000000.0,24150000000.0,3685000000.0,3505000000.0,7553000000.0,10414000000.0,2052000000.0,,848171289,70564500000.0,86997000000.0,1.2425000573828815,0.8048289366733171,0.1451345755693582,0.08045079991736866,1.7958089668615984,0.23903413133793927
2021-01-29,2022-06-06,10-Q,2023,Q1,,,,,,,,,7553000000.0,,,,848171289,,,,,,,,
